,season,team,position,player_id
462,2024,PIT,LS,00-0034051
463,2024,MIA,WR,00-0034054
464,2024,CHI,LS,00-0034067
465,2024,ATL,TE,00-0034073
466,2024,DET,K,00-0034084
467,2024,SF,DB,00-0034091
468,2024,DET,DB,00-0034096
469,2024,CAR,WR,00-0034104
470,2024,NYG,OL,00-0034112
471,2024,CHI,OL,00-0034114
472,2024,MIA,RB,00-0034115
473,2024,NO,DB,00-0034116
474,2024,NO,DL,00-0034125
475,2024,IND,DB,00-0034145
476,2024,MIN,OL,00-0034158
477,2024,LAC,TE,00-0034159
478,2024,SEA,P,00-0034160
479,2024,LV,K,00-0034161
480,2024,LAC,P,00-0034162
481,2024,CHI,DL,00-0034163
482,2024,CAR,K,00-0034173
483,2024,NYG,QB,00-0034177
484,2024,LAC,RB,00-0034184
485,2024,NO,TE,00-0034193
486,2024,DAL,LS,00-0034198
487,2024,LA,DB,00-0034203
488,2024,CAR,RB,00-0034208
489,2024,DAL,OL,00-0034229
490,2024,LAC,DL,00-0034234
491,2024,MIA,DB,00-0034248
492,2024,NE,DL,00-0034251
493,2024,CAR,OL,00-0034261
494,2024,CHI,DB,00-0034263
495,2024,WAS,DL,00-0034264
496,2024,PIT,DB,00-0034265
497,2024,NYJ,TE,00-0034270
498,2024,NO,WR,00-0034272
499,2024,PHI,DB,00-0034274
500,2024,HOU,DL,00-0034275
501,2024,PIT,DB,00-0034277
502,2024,DEN,DB,00-0034278
503,2024,NO,WR,00-0034279
504,2024,LAC,OL,00-0034281
505,2024,MIA,DL,00-0034285
506,2024,DET,LB,00-0034296
507,2024,WAS,WR,00-0034297
508,2024,WAS,LB,00-0034302
509,2024,DET,DB,00-0034310
510,2024,BAL,WR,00-0034317
511,2024,ATL,DL,00-0034320
512,2024,WAS,DL,00-0034325
513,2024,WAS,DL,00-0034333
514,2024,NYG,DB,00-0034337
515,2024,IND,OL,00-0034342
516,2024,DET,LB,00-0034344
517,2024,DET,OL,00-0034345
518,2024,ARI,OL,00-0034346
519,2024,PIT,OL,00-0034347
520,2024,DEN,WR,00-0034348
521,2024,SEA,LB,00-0034350
522,2024,PHI,TE,00-0034351
523,2024,SEA,OL,00-0034352
524,2024,BAL,WR,00-0034353
525,2024,HOU,DB,00-0034355
526,2024,PIT,DB,00-0034356
527,2024,NYJ,DB,00-0034357
528,2024,IND,DL,00-0034359
529,2024,ATL,LB,00-0034360
530,2024,KC,DB,00-0034361
531,2024,BAL,DL,00-0034363
532,2024,CLE,TE,00-0034364
533,2024,CAR,TE,00-0034365
534,2024,CLE,RB,00-0034367
535,2024,CAR,LB,00-0034368
536,2024,MIA,DL,00-0034371
537,2024,DET,LB,00-0034372
538,2024,WAS,DL,00-0034373
539,2024,TB,DB,00-0034374
540,2024,ARI,LB,00-0034375
541,2024,BUF,DB,00-0034376
542,2024,PHI,DB,00-0034377
543,2024,PHI,LB,00-0034381
544,2024,CAR,LB,00-0034382
545,2024,HOU,TE,00-0034383
546,2024,NYJ,DB,00-0034384
547,2024,NE,LB,00-0034385
548,2024,KC,WR,00-0034386
549,2024,ARI,DL,00-0034387
550,2024,ATL,DB,00-0034389
551,2024,MIA,DB,00-0034391
552,2024,HOU,OL,00-0034392
553,2024,DET,WR,00-0034395
554,2024,HOU,DL,00-0034397
555,2024,CLE,OL,00-0034399
556,2024,BUF,QB,00-0034401
557,2024,BUF,WR,00-0034406
558,2024,ATL,WR,00-0034407
559,2024,SF,WR,00-0034411
560,2024,JAX,LB,00-0034413
561,2024,PIT,RB,00-0034414
562,2024,CHI,OL,00-0034417
563,2024,NO,WR,00-0034418
564,2024,MIA,WR,00-0034419
565,2024,NYG,LB,00-0034424
566,2024,PHI,OL,00-0034429
567,2024,DEN,LB,00-0034430
568,2024,IND,LB,00-0034431
569,2024,HOU,RB,00-0034433
570,2024,ARI,DB,00-0034435
571,2024,BUF,OL,00-0034436
572,2024,JAX,P,00-0034437
573,2024,CIN,QB,00-0034438
574,2024,PHI,OL,00-0034445
575,2024,CIN,DB,00-0034446
576,2024,NYG,K,00-0034450
577,2024,NYJ,DL,00-0034461
578,2024,WAS,DB,00-0034465
579,2024,ARI,LB,00-0034473
580,2024,LAC,LB,00-0034474
581,2024,DET,K,00-0034479
582,2024,CHI,DB,00-0034485
583,2024,MIN,WR,00-0034487
584,2024,TB,DB,00-0034488
585,2024,DET,LB,00-0034490
586,2024,ARI,OL,00-0034495
587,2024,CAR,LB,00-0034500
588,2024,CAR,OL,00-0034505
589,2024,DEN,DB,00-0034514
590,2024,DAL,DB,00-0034515
591,2024,NO,DB,00-0034516
592,2024,NYJ,WR,00-0034521
593,2024,TB,DB,00-0034527
594,2024,CLE,DB,00-0034540
595,2024,LV,DB,00-0034545
596,2024,WAS,OL,00-0034571
597,2024,SF,DB,00-0034573
598,2024,TB,TE,00-0034575
599,2024,PIT,QB,00-0034577
600,2024,TEN,DL,00-0034587
601,2024,ATL,DL,00-0034612
602,2024,CIN,TE,00-0034613
603,2024,ARI,DB,00-0034623
604,2024,ATL,OL,00-0034628
605,2024,CLE,DB,00-0034639
606,2024,MIN,WR,00-0034646
607,2024,DAL,WR,00-0034653
608,2024,MIA,DL,00-0034657
609,2024,NYG,OL,00-0034668
610,2024,CHI,LB,00-0034673
611,2024,ATL,DB,00-0034675
612,2024,ARI,DL,00-0034677
613,2024,CIN,OL,00-0034678
614,2024,TB,RB,00-0034681
615,2024,IND,DL,00-0034682
616,2024,LV,LB,00-0034720
617,2024,CLE,P,00-0034721
618,2024,CAR,DL,00-0034723
619,2024,GB,DB,00-0034728
620,2024,DET,OL,00-0034729
621,2024,GB,WR,00-0034732
622,2024,LAC,QB,00-0034737
623,2024,ATL,LB,00-0034743
624,2024,SF,DB,00-0034745
625,2024,CLE,DL,00-0034746
626,2024,CAR,RB,00-0034750
627,2024,CIN,OL,00-0034752
628,2024,BAL,TE,00-0034753
629,2024,PHI,LB,00-0034754
630,2024,IND,DB,00-0034756
631,2024,LV,OL,00-0034759
632,2024,NO,DL,00-0034760
633,2024,ATL,OL,00-0034763
634,2024,LV,WR,00-0034764
635,2024,DET,WR,00-0034765
636,2024,NE,OL,00-0034768
637,2024,TEN,QB,00-0034771
638,2024,TB,DL,00-0034773
639,2024,JAX,DL,00-0034774
640,2024,JAX,WR,00-0034775
641,2024,LAC,WR,00-0034777
642,2024,DET,DB,00-0034778
643,2024,IND,DB,00-0034779
644,2024,SF,DB,00-0034780
645,2024,MIN,DL,00-0034782
646,2024,BAL,LB,00-0034787
647,2024,PIT,DB,00-0034789
648,2024,LAC,DB,00-0034790
649,2024,CLE,RB,00-0034791
650,2024,LV,DB,00-0034792
651,2024,MIA,K,00-0034794
652,2024,BAL,QB,00-0034796
653,2024,TEN,LB,00-0034797
654,2024,MIA,TE,00-0034798
655,2024,CIN,DL,00-0034800
656,2024,ATL,LB,00-0034801
657,2024,LA,OL,00-0034803
658,2024,CLE,OL,00-0034804
659,2024,DEN,DL,00-0034805
660,2024,CLE,DL,00-0034807
661,2024,LAC,RB,00-0034808
662,2024,TEN,DL,00-0034810
663,2024,SF,LB,00-0034815
664,2024,CLE,OL,00-0034817
665,2024,KC,DL,00-0034818
666,2024,TEN,LB,00-0034825
667,2024,CHI,WR,00-0034827
668,2024,TEN,LB,00-0034828
669,2024,CIN,TE,00-0034829
670,2024,LAC,TE,00-0034830
671,2024,MIA,LB,00-0034832
672,2024,MIA,OL,00-0034833
673,2024,CIN,DL,00-0034834
674,2024,IND,OL,00-0034836
675,2024,TEN,WR,00-0034837
676,2024,CLE,RB,00-0034838
677,2024,IND,DL,00-0034842
678,2024,ATL,DB,00-0034843
679,2024,PHI,RB,00-0034844
680,2024,DEN,OL,00-0034847
681,2024,ATL,WR,00-0034854
682,2024,TB,QB,00-0034855
683,2024,CLE,DB,00-0034856
684,2024,BUF,QB,00-0034857
685,2024,PIT,DB,00-0034858
686,2024,NO,WR,00-0034860
687,2024,SF,WR,00-0034867
688,2024,MIN,QB,00-0034869
689,2024,BAL,LB,00-0034874
690,2024,JAX,QB,00-0034899
691,2024,NYJ,LB,00-0034902
692,2024,JAX,DB,00-0034903
693,2024,HOU,WR,00-0034928
694,2024,DEN,OL,00-0034929
695,2024,PIT,OL,00-0034937
696,2024,SF,P,00-0034941
697,2024,PHI,OL,00-0034951
698,2024,MIN,QB,00-0034955
699,2024,PIT,OL,00-0034957
700,2024,HOU,RB,00-0034959
701,2024,LV,WR,00-0034960
702,2024,HOU,DB,00-0034966
703,2024,GB,DL,00-0034967
704,2024,JAX,DB,00-0034968
705,2024,HOU,TE,00-0034970
706,2024,LV,RB,00-0034972
707,2024,LV,DL,00-0034973
708,2024,SEA,DB,00-0034974
709,2024,BAL,RB,00-0034975
710,2024,WAS,DB,00-0034977
711,2024,DEN,OL,00-0034978
712,2024,NO,TE,00-0034981
713,2024,SF,LB,00-0034982
714,2024,IND,LB,00-0034987
715,2024,TB,OL,00-0034989
716,2024,HOU,DB,00-0034990
717,2024,NYG,DL,00-0034992
718,2024,LV,DB,00-0034993
719,2024,NO,OL,00-0034994
720,2024,NYG,LB,00-0034999
721,2024,MIA,LB,00-0035000
722,2024,ARI,OL,00-0035003
723,2024,SF,LB,00-0035020
724,2024,IND,WR,00-0035021
725,2024,SF,DL,00-0035026
726,2024,CHI,TE,00-0035039
727,2024,NYG,P,00-0035042
728,2024,IND,WR,00-0035045
729,2024,MIA,DL,00-0035048
730,2024,LAC,OL,00-0035062
731,2024,DET,DL,00-0035063
732,2024,CAR,DL,00-0035073
733,2024,NYG,LB,00-0035076
734,2024,CAR,OL,00-0035084
735,2024,ATL,DB,00-0035098
736,2024,PHI,RB,00-0035099
737,2024,CIN,QB,00-0035100
738,2024,WAS,WR,00-0035101
739,2024,PIT,DB,00-0035108
740,2024,BAL,OL,00-0035112
741,2024,NE,OL,00-0035117
742,2024,GB,LS,00-0035118
743,2024,MIA,RB,00-0035125
744,2024,LV,OL,00-0035127
745,2024,GB,DB,00-0035133
746,2024,NYJ,DB,00-0035139
747,2024,KC,WR,00-0035140
748,2024,NO,DB,00-0035142
749,2024,ARI,LB,00-0035144
750,2024,WAS,K,00-0035145
751,2024,WAS,QB,00-0035146
752,2024,WAS,OL,00-0035149
753,2024,HOU,DB,00-0035150
754,2024,DET,P,00-0035156
755,2024,DAL,LB,00-0035157
756,2024,TB,WR,00-0035164
757,2024,HOU,LB,00-0035166
758,2024,DAL,LB,00-0035177
759,2024,DAL,DL,00-0035179
760,2024,KC,K,00-0035189
761,2024,LV,P,00-0035190
762,2024,NE,K,00-0035192
763,2024,HOU,LB,00-0035202
764,2024,WAS,WR,00-0035208
765,2024,BAL,WR,00-0035215
766,2024,BAL,WR,00-0035216
767,2024,KC,DL,00-0035219
768,2024,LV,TE,00-0035222
769,2024,DEN,DB,00-0035227
770,2024,ARI,QB,00-0035228
771,2024,MIN,TE,00-0035229
772,2024,BUF,DL,00-0035230
773,2024,LV,DL,00-0035231
774,2024,GB,OL,00-0035233
775,2024,HOU,OL,00-0035234
776,2024,ATL,OL,00-0035235
777,2024,MIN,DB,00-0035236
778,2024,KC,OL,00-0035237
779,2024,CIN,OL,00-0035238
780,2024,ARI,DB,00-0035239
781,2024,NE,LB,00-0035240
782,2024,NO,DB,00-0035241
783,2024,NO,OL,00-0035242
784,2024,CAR,RB,00-0035243
785,2024,CAR,DB,00-0035244
786,2024,PIT,OL,00-0035245
787,2024,IND,DL,00-0035247
